chr	Pos_hg19	Strand	Transcript	Gene	UsedSite	Expression_Average_(%)	Expression_Average_(read)	nbSamp	MES	SSF	bp_pos	bp_zsc	BPP_class	ss_dist	svm_scr	SVM_class	branchpoint_dist	branchpoint_prob	branchpoint_class	LB_pos	LB_score	LB_class	RNABPS_pos	RNABPS_score	RNABPS_class	Cum_class
chr22	43089999	-	NM_017436	A4GALT	1	0.54	0.15	8	-1.91	0	77	7.94	Yes	17	1.34	Yes	0	0	No	-29	0.91	Yes	41	91.89	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr22	43090677	-	NM_017436	A4GALT	1	1.7	0.49	25	6.07	0	17	4.58	No	23	0.64	No	0	0	No	-19	0.63	No	54	73.68	Yes	BPP: No, SVM: No, Branch: No, LB: No, RNABPS: Yes
chr22	43109336	-	NM_017436	A4GALT	1	0.5	0.11	7	11.3	97.1	38	6.16	Yes	40	-1.68	No	0	0	No	-31	0.33	No	47	63.36	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr22	43109983	-	NM_017436	A4GALT	1	1	0.17	9	7.73	86.87	26	8	Yes	13	1.41	Yes	0	0	No	-25	0.91	Yes	45	95.55	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr22	43114593	-	NM_017436	A4GALT	1	2.39	0.42	23	8.94	94.37	24	6.71	Yes	11	1.48	Yes	0	0	No	-23	0.89	Yes	47	89.93	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr12	53701701	-	NM_001173466	AAAS	1	0.79	1.11	45	1.74	78.74	16	4.69	No	15	1.93	Yes	0	0	No	-57	0.67	Yes	43	87.2	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr12	53701711	-	NM_001173466	AAAS	1	1.92	2.74	66	-2.82	0	18	7.35	Yes	5	1.97	Yes	0	0	No	-24	0.44	No	NA	NA	NA	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr12	53701756	-	NM_001173466	AAAS	1	0.61	0.96	39	3.75	75.72	45	6.93	Yes	32	1.53	Yes	28	0.33	Yes	-30	0.48	No	40	35.94	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr12	53702121	-	NM_001173466	AAAS	1	0.31	0.39	20	-6.03	57.92	22	4.68	No	19	2.11	Yes	0	0	No	-42	0.65	No	28	54.95	No	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr12	53702636	-	NM_001173466	AAAS	1	1.43	1.11	42	6.97	76.18	51	8.74	Yes	38	1.32	Yes	32	0.33	Yes	-26	0.52	No	44	55.11	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr12	53708628	-	NM_001173466	AAAS	1	1.38	0.13	7	-0.3	0	9	3.87	No	7	1.81	Yes	30	0.53	Yes	-25	0.83	Yes	45	87.46	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr12	53708634	-	NM_001173466	AAAS	1	1723.67	134.07	72	8.47	76.44	14	6.03	Yes	1	1.84	Yes	27	0.61	Yes	-19	0.77	Yes	51	84.23	Yes	BPP: Yes, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr12	53709271	-	NM_001173466	AAAS	1	0.14	0.21	14	7.59	80.02	27	6.04	Yes	48	-1.34	No	30	0.38	Yes	-26	0.75	Yes	40	53.26	No	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: No
chr12	125562641	+	NM_023928	AACS	1	0.65	0.56	28	8.39	74.36	26	5.35	No	-3	0.89	Yes	25	0.96	Yes	-25	0.96	Yes	45	98.4	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr12	125566742	+	NM_023928	AACS	1	0.16	0.13	8	2.52	0	27	6.24	Yes	14	1.42	Yes	0	0	No	-26	0.83	Yes	44	87.89	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr12	125593722	+	NM_023928	AACS	1	0.57	0.42	20	6.77	91.06	15	4.86	No	63	1.33	Yes	0	0	No	-26	0.74	Yes	44	64.09	No	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: No
chr12	125594107	+	NM_023928	AACS	1	0.29	0.22	11	7.31	84.92	25	6.35	Yes	12	1.09	Yes	0	0	No	-28	0.57	No	46	55.34	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr12	125612766	+	NM_023928	AACS	1	0.93	0.53	27	5.66	77.71	35	8.09	Yes	73	0.46	No	0	0	No	-34	0.77	Yes	36	88.91	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr12	125613885	+	NM_023928	AACS	1	0.19	0.11	7	-2.98	0	28	7.93	Yes	8	0.51	No	0	0	No	-27	0.79	Yes	43	93.94	Yes	BPP: Yes, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr9	99408302	-	NM_153698	AAED1	1	0.62	0.14	10	-0.76	0	28	5.74	Yes	39	-4.23	No	0	0	No	-27	0.61	No	43	70.47	Yes	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: Yes
chr15	67495931	-	NM_001271886	AAGAB	1	0.07	0.13	8	-1.82	0	25	4.84	No	39	-1.62	No	0	0	No	-25	0.92	Yes	45	90.9	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr15	67497385	-	NM_001271886	AAGAB	1	1.02	1.71	54	8.93	86.45	25	6.78	Yes	71	0.93	Yes	0	0	No	-24	0.84	Yes	46	82.81	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr15	67501879	-	NM_001271886	AAGAB	1	0.06	0.13	9	3.59	0	25	5.21	No	12	1.21	Yes	0	0	No	-28	0.53	No	46	69.71	Yes	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr15	67512879	-	NM_001271886	AAGAB	1	0.15	0.29	15	12.4	96.37	36	7.08	Yes	72	-3.35	No	27	0.68	Yes	-27	0.77	Yes	39	66.66	No	BPP: Yes, SVM: No, Branch: Yes, LB: Yes, RNABPS: No
chr15	67513540	-	NM_001271886	AAGAB	1	0.06	0.13	7	5.87	78.74	15	5.57	Yes	2	1.41	Yes	0	0	No	-23	0.68	Yes	40	83	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr15	67519289	-	NM_001271886	AAGAB	1	0.36	0.69	33	7.64	92.11	24	5.09	No	11	1.54	Yes	23	0.94	Yes	-23	0.88	Yes	47	94.64	Yes	BPP: No, SVM: Yes, Branch: Yes, LB: Yes, RNABPS: Yes
chr15	67523671	-	NM_001271886	AAGAB	1	1.81	3.67	68	-2.02	0	17	4.24	No	4	0.39	No	0	0	No	-16	0.87	Yes	54	94.06	Yes	BPP: No, SVM: No, Branch: No, LB: Yes, RNABPS: Yes
chr15	67524585	-	NM_001271886	AAGAB	1	0.1	0.22	14	4.74	84.41	23	6.56	Yes	10	1.33	Yes	0	0	No	-22	0.42	No	48	72.7	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr2	69736596	-	NM_014911	AAK1	1	47.47	15.28	72	10.07	78.56	47	10.4	Yes	34	1.2	Yes	31	0.63	Yes	-28	0.48	No	42	59.18	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr2	69737629	-	NM_014911	AAK1	1	1.24	0.43	26	7.93	85.69	31	6	Yes	59	-1.13	No	0	0	No	-23	0.46	No	47	49.24	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr2	69748095	-	NM_014911	AAK1	1	0.19	0.21	12	5.09	83.23	23	5.2	No	10	1.47	Yes	0	0	No	-22	0.73	Yes	48	80.58	Yes	BPP: No, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	69752224	-	NM_014911	AAK1	1	0.09	0.13	7	5.96	70.94	31	5.43	No	50	1.48	Yes	0	0	No	-23	0.65	No	45	45.4	No	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr2	69753760	-	NM_014911	AAK1	1	0.19	0.24	15	9.07	91.05	34	5.28	No	40	1.23	Yes	0	0	No	-33	0.47	No	51	59.6	No	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr2	69758600	-	NM_014911	AAK1	1	0.13	0.13	8	6.07	91.99	43	7.39	Yes	30	2.35	Yes	0	0	No	-27	0.62	No	43	73.72	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr2	69766554	-	NM_014911	AAK1	1	0.12	0.11	7	9.33	79.14	20	7.1	Yes	7	1.56	Yes	0	0	No	-31	0.91	Yes	39	91.38	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	69827777	-	NM_014911	AAK1	1	0.64	0.4	19	3.06	69.62	45	5.16	No	21	1.22	Yes	0	0	No	-33	0.45	No	37	63.65	No	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr2	69830759	-	NM_014911	AAK1	1	1.17	0.75	33	9.47	87.86	53	9.91	Yes	69	1.35	Yes	0	0	No	-39	0.65	No	31	55.87	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
chr11	77566390	+	NM_001316960	AAMDC	1	2.14	0.4	21	2.94	0	39	6.4	Yes	26	0.83	Yes	0	0	No	-38	0.86	Yes	32	84.5	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr2	219129883	-	NM_001087	AAMP	1	0.09	0.18	10	0.55	69.27	24	4.9	No	50	1.04	Yes	0	0	No	-49	0.63	No	21	76.4	Yes	BPP: No, SVM: Yes, Branch: No, LB: No, RNABPS: Yes
chr2	219134261	-	NM_001087	AAMP	1	14.58	31.94	72	4.86	70.97	16	6	Yes	3	2.22	Yes	23	0.7	Yes	-61	0.36	No	47	44.83	No	BPP: Yes, SVM: Yes, Branch: Yes, LB: No, RNABPS: No
chr20	34830094	+	NM_015511	AAR2	1	0.39	0.24	17	4.19	0	43	6.63	Yes	30	0.25	No	0	0	No	-37	0.52	No	36	47.51	No	BPP: Yes, SVM: No, Branch: No, LB: No, RNABPS: No
chr20	34834122	+	NM_015511	AAR2	1	0.66	0.71	34	4.53	70.52	39	6.61	Yes	26	1.36	Yes	0	0	No	-38	0.76	Yes	32	77.56	Yes	BPP: Yes, SVM: Yes, Branch: No, LB: Yes, RNABPS: Yes
chr20	34843522	+	NM_015511	AAR2	1	0.33	0.36	19	10.45	85.78	32	5.65	Yes	33	1.35	Yes	0	0	No	-25	0.48	No	29	47.26	No	BPP: Yes, SVM: Yes, Branch: No, LB: No, RNABPS: No
